2020-02-21 10:11:29,190 | INFO  | FelixStartLevel  | TimerTaskExecutor                | heduling.timer.TimerTaskExecutor  106 | 148 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Initializing Timer
2020-02-21 10:11:34,710 | INFO  | FelixStartLevel  | ScrServiceMBeanImpl              | scr.internal.ScrServiceMBeanImpl   78 | 139 - org.apache.karaf.management.mbeans.scr - 2.4.0.redhat-630187 | Activating the Apache Karaf SCR Service MBean
2020-02-21 10:11:34,801 | INFO  | FelixStartLevel  | SecurityUtils                    | tyUtils$BouncyCastleRegistration  119 | 59 - org.apache.sshd.core - 0.14.0 | BouncyCastle already registered as a JCE provider
2020-02-21 10:11:34,976 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Starting JMX OSGi agent
2020-02-21 10:11:34,991 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8] for service with service.id [14]
2020-02-21 10:11:34,993 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
2020-02-21 10:11:34,994 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
2020-02-21 10:11:34,994 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
2020-02-21 10:11:34,994 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
2020-02-21 10:11:34,994 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 54 - org.apache.aries.jmx.core - 1.1.3 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@78308db1 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=35173ac6-3d94-439b-9a09-be14f506c3e8
